cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	40.96950150	0	0	0.00000000	0.13340648	noise	337	0	0
1	27.53400040	2	0	0.00000000	0.21257947	noise	537	0	1
2	39.39974976	2	0	0.00000000	0.05542109	noise	140	0	2
3	41.61299896	2	0	0.00000000	0.25849980	noise	653	0	3
4	6.92250061	0	0	0.00000000	1.84473058	noise	4660	0	4
5	5.12849998	0	0	0.00000000	1.28972795	noise	3258	0	5
6	5.83049965	2	0	0.00000000	1.40254945	noise	3543	0	6
7	3.38325000	0	0	0.00000000	3.16137735	noise	7986	0	7
8	4.64100027	3	0	-10.00000000	1.26320500	noise	3191	0	8
