cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	41.09625244	2	0	0.00000000	0.11321737	noise	286	0	0
1	38.76600266	2	0	0.00000000	0.10807113	noise	273	0	1
2	40.18949890	2	0	0.00000000	0.24662385	noise	623	0	2
3	5.69400024	3	0	-10.00000000	1.98922128	noise	5025	0	3
4	5.78175020	3	0	-10.00000000	2.53907767	noise	6414	0	4
5	4.90425014	3	0	-10.00000000	1.36494229	noise	3448	0	5
6	6.02550030	3	0	-10.00000000	4.13480922	noise	10445	0	6
7	3.56850004	3	0	-10.00000000	3.67441830	noise	9282	0	7
