cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	26.55900002	1	0	10.00000000	0.22603888	noise	571	0	0
1	40.38449860	1	0	10.00000000	0.13261475	noise	335	0	1
2	37.87874985	2	0	0.00000000	0.07600607	noise	192	0	2
3	41.18399811	1	0	10.00000000	0.25691634	noise	649	0	3
4	19.53899956	1	0	10.00000000	0.08115231	noise	205	0	4
5	9.82800007	3	0	-10.00000000	1.60048192	noise	4043	0	5
6	5.92800045	3	0	-10.00000000	1.54466497	noise	3902	0	6
7	3.21750021	2	0	0.00000000	2.91317004	noise	7359	0	7
8	4.65075016	3	0	-10.00000000	1.76397414	noise	4456	0	8
10	8.77500057	2		0.00000000	7.95728100	good	20101	0	
16	8.77500057	2		0.00000000	0.93899162		2372	0	
17	8.77500057	2		0.00000000	8.48219790	noise	21427	0	
