cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	7.09800053	3	0	-10.00000000	0.50076914	noise	1265	0	0
1	13.42575073	3	0	-10.00000000	0.12984370	noise	328	0	1
2	14.43000031	3	0	-10.00000000	0.28462689	noise	719	0	2
3	2.43750000	3	0	-10.00000000	1.38790245	noise	3506	0	3
4	1.20900011	3	0	-10.00000000	0.67613730	noise	1708	0	4
5	7.13700008	3	0	-10.00000000	1.21965986	noise	3081	0	5
6	2.37899995	3	0	-10.00000000	0.85348479	noise	2156	0	6
7	4.03649998	3	0	-10.00000000	3.29636729	noise	8327	0	7
8	1.95975006	3	0	-10.00000000	2.16775637	noise	5476	0	8
9	1.67700005	3	0	-10.00000000	2.15113004	noise	5434	0	9
