cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	27.33900070	2	0	0.00000000	0.40813675	noise	1031	0	0
1	14.28375053	0	0	0.00000000	0.22168436	noise	560	0	1
2	13.51350021	2	0	0.00000000	0.89109196	noise	2251	0	2
3	10.73475075	2	0	0.00000000	1.22797302	noise	3102	0	3
5	11.50500011	2	0	0.00000000	2.42902722	noise	6136	0	4
7	11.50500011	2	0	0.00000000	6.40509460	good	16180	0	4
11	11.50500011	2	0	0.00000000	0.49839395	noise	1259	0	4
15	11.50500011	2	0	0.00000000	3.10833145	good	7852	0	4
16	11.50500011	2	0	0.00000000	9.66860510	mua	24424	0	4
