cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	26.91000175	0	0	0.00000000	0.44534805	noise	1125	0	0
1	18.12524986	2	0	0.00000000	0.33252654	noise	840	0	1
2	8.71650028	1	0	10.00000000	0.95601381	noise	2415	0	2
3	8.60925007	2	0	0.00000000	1.16938501	noise	2954	0	3
4	6.35700035	2	0	0.00000000	1.03993718	noise	2627	0	4
5	9.04800034	2	0	0.00000000	0.90296791	noise	2281	0	5
6	6.31800032	1	0	10.00000000	0.85704758	noise	2165	0	6
7	2.86649990	0	0	0.00000000	1.40848743	noise	3558	0	7
