cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	36.13350296	1	0	10.00000000	0.17813922	noise	450	0	0
1	23.90700150	2	0	0.00000000	0.32579684	noise	823	0	1
2	19.88999939	1	0	10.00000000	0.40259464	noise	1017	0	2
3	8.65799999	1	0	10.00000000	0.92790740	noise	2344	0	3
4	1.87199998	1	0	10.00000000	1.40373705	noise	3546	0	4
5	3.50999999	2	0	0.00000000	1.70736545	noise	4313	0	5
6	3.95849991	2	0	0.00000000	1.71449102	noise	4331	0	6
7	3.33449984	2	0	0.00000000	2.78332634	noise	7031	0	7
9	9.32100010	1	0	10.00000000	2.50859608	noise	6337	0	8
11	9.32100010	1	0	10.00000000	1.28854035	noise	3255	0	8
13	9.32100010	1	0	10.00000000	7.72134550	good	19505	0	8
14	9.32100010	1	0	10.00000000	14.74755218	mua	37254	0	8
