cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
15	11.40750027	3	0	-10.00000000	3.45098462	good	103333	0	
20	11.40750027	3	0	-10.00000000	1.41007686	noise	42222	0	
33	9.69149971	2	0	0.00000000	1.46888851	mua	43983	0	
34	9.69149971	2	0	0.00000000	3.63099301	mua	108723	0	
39	10.12050056	3	0	-10.00000000	0.49163331	noise	14721	0	1
41	10.12050056	3	0	-10.00000000	3.37160059	mua	100956	0	1
42	10.12050056	3	0	-10.00000000	0.23741738	noise	7109	0	1
43	11.40750027	3	0	-10.00000000	0.31215926	good	9347	0	
44	11.40750027	3	0	-10.00000000	1.90942482	mua	57174	0	
