cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	39.72150040	2	0	0.00000000	0.11598843	noise	293	0	0
1	38.35649872	2	0	0.00000000	0.13815686	noise	349	0	1
2	14.79075050	3	0	-10.00000000	0.49403944	noise	1248	0	2
3	1.18950009	0	0	0.00000000	0.12628091	noise	319	0	3
4	4.61175013	2	0	0.00000000	0.49641462	noise	1254	0	4
5	7.95600033	3	0	-10.00000000	1.46667957	noise	3705	0	5
6	4.77750015	1	0	10.00000000	0.45801573	noise	1157	0	6
7	2.52524996	3	0	-10.00000000	0.66901174	noise	1690	0	7
8	2.71050000	3	0	-10.00000000	0.84675509	noise	2139	0	8
