cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	41.14500046	2	0	0.00000000	0.12667678	noise	320	0	0
1	39.35100174	3	0	-10.00000000	0.06690117	noise	169	0	1
2	27.65100098	3	0	-10.00000000	0.22168436	noise	560	0	2
3	41.48625183	3	0	-10.00000000	0.25968740	noise	656	0	3
5	6.35700035	3	0	-10.00000000	2.89060573	noise	7302	0	5
6	3.48075032	3	0	-10.00000000	3.67125138	noise	9274	0	6
7	4.97249985	3	0	-10.00000000	4.79115327	noise	12103	0	7
8	3.80250001	1	0	10.00000000	2.71761276	noise	6865	0	8
9	6.96150017	1	0	10.00000000	1.50389088	noise	3799	0	4
10	6.96150017	1	0	10.00000000	2.30393391	noise	5820	0	4
