cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	3.47100019	2	0	0.00000000	0.53045901	noise	1340	0	0
1	6.31799984	2	0	0.00000000	1.36692161	noise	3453	0	1
2	38.90250015	2	0	0.00000000	0.34123557	noise	862	0	2
3	3.78299999	2	0	0.00000000	2.92385839	noise	7386	0	3
4	6.20100021	2	0	0.00000000	3.45867191	noise	8737	0	4
5	0.79949999	2	0	0.00000000	2.76274136	noise	6979	0	5
6	0.99450004	1	0	10.00000000	4.07463775	noise	10293	0	6
7	4.64099979	2	0	0.00000000	2.41398436	noise	6098	0	7
8	2.59350014	2	0	0.00000000	4.92337216	noise	12437	0	8
