cluster_id	amp	ch	depth	fr	group	n_spikes	sh	si_unit_id
5	7.60500002	1	10.00000000	3.22525275	good	59968	0	
30	7.60500002	1	10.00000000	3.21917529	mua	59855	0	
32	7.60500002	1	10.00000000	0.73779378	noise	13718	0	
