cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	37.03050232	0	0	0.00000000	0.67872511	noise	18251	0	0
2	8.03400040	2	0	0.00000000	0.60289800	noise	16212	0	2
15	9.47700024	2	0	0.00000000	0.62164095	noise	16716	0	
16	9.47700024	2	0	0.00000000	0.71375656	noise	19193	0	
25	9.47700024	2	0	0.00000000	0.11000323	noise	2958	0	
26	9.47700024	2	0	0.00000000	0.82751581	mua	22252	0	
