cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	32.34075165	0	0	0.00000000	0.30006562	noise	758	0	0
1	42.64649963	0	0	0.00000000	0.28462689	noise	719	0	1
2	22.60050011	0	0	0.00000000	1.32733512	noise	3353	0	2
4	11.32950020	2	0	0.00000000	10.22796225	good	25837	0	3
7	11.32950020	2	0	0.00000000	22.58686543	noise	57057	0	3
8	11.32950020	2	0	0.00000000	5.04371510	mua	12741	0	3
10	11.32950020	2	0	0.00000000	5.05163240	mua	12761	0	3
11	11.32950020	2	0	0.00000000	2.49909532	noise	6313	0	3
