cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
1	3.60750008	2	0	0.00000000	3.51345051	noise	81881	0	1
6	4.91400003	1	0	10.00000000	8.55622881	good	199403	0	
7	4.91400003	1	0	10.00000000	9.24088845	good	215359	0	
17	4.91400003	1	0	10.00000000	20.98767583	noise	489118	0	
