cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
8	6.23999977	3	0	-10.00000000	2.37399935	good	52813	0	0
10	5.98650026	3	0	-10.00000000	3.95375876	noise	87957	0	1
