cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
2	11.46600056	3	0	-10.00000000	10.94100711	good	294205	0	
4	14.54699993	2	0	0.00000000	9.65800803	good	259705	0	
6	11.46600056	3	0	-10.00000000	4.16591662	noise	112022	0	
