cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	14.21549988	0	0	0.00000000	1.96520337	noise	44440	0	0
4	7.15650034	3	0	-10.00000000	6.54305705	noise	147961	0	2
7	7.15650034	3	0	-10.00000000	4.12374312	good	93252	0	2
8	7.15650034	3	0	-10.00000000	4.33697918	noise	98074	0	2
10	8.42399979	1	0	10.00000000	4.23124558	noise	95683	0	1
12	8.42399979	1	0	10.00000000	3.70275446	noise	83732	0	1
14	8.42399979	1	0	10.00000000	1.69695576	noise	38374	0	1
15	8.42399979	1	0	10.00000000	2.01857871	good	45647	0	1
16	8.42399979	1	0	10.00000000	0.44707934	noise	10110	0	1
