cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
5	11.38800049	2	0	0.00000000	4.63989644	good	104924	0	
7	11.70000076	0	0	0.00000000	2.52239424	good	57040	0	
11	9.26250076	2	0	0.00000000	13.68283898	noise	309416	0	1
