cluster_id	amp	ch	channel_group	depth	fr	group	n_spikes	sh	si_unit_id
0	40.17975235	2	0	0.00000000	0.12984370	noise	328	0	0
1	41.49600220	1	0	10.00000000	0.07204742	noise	182	0	1
2	39.63375092	2	0	0.00000000	0.10688353	noise	270	0	2
3	41.67150116	2	0	0.00000000	0.26047913	noise	658	0	3
4	7.70250034	1	0	10.00000000	0.07006809	noise	177	0	4
5	7.39050007	1	0	10.00000000	1.19788728	noise	3026	0	5
6	5.83050013	1	0	10.00000000	0.34163144	noise	863	0	6
7	6.78600025	3	0	-10.00000000	0.76956143	noise	1944	0	7
8	2.20350003	3	0	-10.00000000	2.25088800	noise	5686	0	8
9	2.24250007	1	0	10.00000000	1.63610976	noise	4133	0	9
